,REGION_ADMINISTRATIVE,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
Cégep de Victoriaville,Centre-du-Québec,Centre d'expertise et de transfert en agriculture biologique et de proximité (CETAB+),2016-2017,Fonds collège-industrie pour l'innovation,Volet 1 - Infrastructure de recherche,Jean DUVAL,Infrastructure de recherche pour l'optimisation des systèmes agricoles biologiques,MES,1000000.0,,,1000000,2508292,Sciences naturelles et génie,Agroalimentaire,Agriculture,"Agronomie, foresterie"
Université du Québec à Chicoutimi (UQAC),Saguenay-Lac-Saint-Jean,CIUSSS du Saguenay-Lac-Saint-Jean,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Catherine LAPRISE,Infrastructure pour l'identification d'un profil génétique et microbien de risque pour la COVID-19,MES,179643.0,,,179643,466490,Santé,"Biotechnologies (génomique, protéomique, bio-informatique)",Santé,Génétique
Collège Édouard Montpetit,Montérégie,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Daniel Gareau,Développement de méthodes d'application de revêtements antimicrobiens et de désinfection de pièces imprimées 3D.,MES,39540.0,,,39540,98849,Sciences naturelles et génie,Aérospatiale,Fabrication et réparation de matériel aérospatial,Génie des structures
Collège Ahuntsic,Montréal,Institut des communications graphiques et de l'imprimabilité (ICI),2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Chloe   Bois,Acquisition d'une hotte pour la formulation d'encres anti pathogènes à base de nanoparticules et solvants,MES,,,,0,47332,Sciences naturelles et génie,Nanosciences et nanotechnologies,Autres produits manufacturés (incluant bois et papier),Science et technologie des matériaux
Cégep de Ste-Foy,Capitale-Nationale,Centre d'enseignement et de recherche en foresterie (CERFO),2012-2013,Fonds collège-industrie pour l'innovation,Volet 1 - Infrastructure de recherche,Denis DURAND,Infrastructure pour un laboratoire de télédétection forestière,MES,198400.0,,,198400,496800,Sciences naturelles et génie,"Ressources naturelles (forêt, faune, mines, eau)",Sylviculture,Génie forestier
Collège de Maisonneuve,Montréal,Centre d'études des procédés chimiques du Québec (CEPROCQ),2012-2013,Fonds collège-industrie pour l'innovation,Volet 1 - Infrastructure de recherche,Yacine BOUMGHAR,Renforcement de la plateforme d'écotechnologies d'extraction et de séparation,MES,773838.0,,,773838,1955054,Sciences naturelles et génie,Développement durable et technologies vertes,Ressources renouvelables: production et technologies,Sciences naturelles et Génie (SNG)
Cégep de Saint-Jérôme,Laurentides,Institut du véhicule innovant (IVI),2020-2021,Fonds collège-industrie pour l'innovation,Volet 1 - Infrastructure de recherche,Pierre-Luc LAPOINTE,Amélioration des infrastructures de recherche sur les chaînes de traction de véhicule lourd.,MES,1000000.0,,,1000000,2500000,Sciences naturelles et génie,"Transports terrestres (auto, autobus)",Bruit et vibrations,Génie mécanique
École nationale d'administration publique (ENAP),Capitale-Nationale,,2018-2019,Fonds des leaders John-R.-Evans,Partenariat avec un organisme fédéral,Isabelle BOURGEOIS,Chaire de recherche du Canada en évaluation des programmes et politiques,MES,50125.0,,,50125,123603,Sciences sociales et humaines,"Économie, gestion et gouvernance",Gestion des entreprises et des administrations,"Sciences administratives, gestion des affaires et commerce"
Université du Québec en Abitibi-Témiscamingue (UQAT),Abitibi-Témiscamingue,,2020-2021,Fonds des leaders John-R.-Evans,Indépendant - chercheur établi,Suzy Basile,Enjeux relatifs aux femmes autochtones,MES,29416.0,,,29416,77422,Sciences sociales et humaines,"Économie, gestion et gouvernance",Structures et relations sociales,Anthropologie
Cégep de Rimouski,Bas-Saint-Laurent,Service de recherche et d'expertise en transformation des produits forestiers (SEREX),2013-2014,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Julie LESSARD,Renforcement de l'infrastructure de recherche et développement en sciences du bois et des écomatériaux,MES,254025.0,,,254025,639610,Sciences naturelles et génie,Développement durable et technologies vertes,Ressources renouvelables: production et technologies,Génie forestier
