region,Year,civ_libs_vdem_owid
Africa,1951,0.2782181818181818
Africa,1952,0.27843636363636365
Africa,1953,0.2782181818181818
Africa,1954,0.2801636363636364
Africa,1955,0.27923636363636367
Africa,1956,0.2872
Africa,1957,0.29461818181818183
Africa,1958,0.29770909090909087
Africa,1959,0.2926
Africa,1960,0.3307962962962963
Africa,1961,0.3385818181818182
Africa,1962,0.34196363636363636
Africa,1963,0.34785454545454547
Africa,1964,0.35105454545454545
Africa,1965,0.35603636363636365
Africa,1966,0.35761818181818184
Africa,1967,0.35325454545454543
Africa,1968,0.35025454545454543
Africa,1969,0.33241818181818183
Africa,1970,0.3249272727272727
Africa,1971,0.3231818181818182
Africa,1972,0.3181818181818182
Africa,1973,0.3149818181818182
Africa,1974,0.31503636363636367
Africa,1975,0.3251454545454545
Africa,1976,0.33207272727272724
Africa,1977,0.32972727272727276
Africa,1978,0.33401818181818177
Africa,1979,0.3391818181818182
Africa,1980,0.3599636363636364
Africa,1981,0.3582727272727273
Africa,1982,0.35225454545454543
Africa,1983,0.35358181818181816
Africa,1984,0.3538181818181818
Africa,1985,0.36392727272727277
Africa,1986,0.3697090909090909
Africa,1987,0.3745636363636363
Africa,1988,0.3748545454545455
Africa,1989,0.36774545454545454
Africa,1990,0.42516363636363635
Africa,1991,0.4747321428571429
Africa,1992,0.5115714285714286
Africa,1993,0.5295
Africa,1994,0.5350357142857143
Africa,1995,0.5466071428571428
Africa,1996,0.5486785714285715
Africa,1997,0.5416071428571428
Africa,1998,0.5448035714285714
Africa,1999,0.5524107142857143
Africa,2000,0.5660178571428571
Africa,2001,0.5665892857142857
Africa,2002,0.5725357142857143
Africa,2003,0.58025
Africa,2004,0.5910714285714286
Africa,2005,0.5969285714285714
Africa,2006,0.6
Africa,2007,0.6003571428571428
Africa,2008,0.5999642857142857
Africa,2009,0.5964642857142858
Africa,2010,0.6058571428571428
Africa,2011,0.6216964285714285
Africa,2012,0.6251071428571429
Africa,2013,0.6181071428571429
Africa,2014,0.6160357142857142
Africa,2015,0.6145714285714285
Africa,2016,0.6038214285714286
Africa,2017,0.6041785714285715
Africa,2018,0.6074107142857142
Africa,2019,0.6139464285714286
Africa,2020,0.608125
Africa,2021,0.6043035714285715
Asia,1951,0.34981632653061223
Asia,1952,0.35267346938775507
Asia,1953,0.3536326530612245
Asia,1954,0.37426530612244896
Asia,1955,0.37651020408163266
Asia,1956,0.377
Asia,1957,0.37765306122448977
Asia,1958,0.37038775510204086
Asia,1959,0.36759183673469387
Asia,1960,0.36708163265306126
Asia,1961,0.3643877551020408
Asia,1962,0.3596734693877551
Asia,1963,0.35683673469387756
Asia,1964,0.35744897959183675
Asia,1965,0.3530816326530612
Asia,1966,0.3525714285714286
Asia,1967,0.3528979591836735
Asia,1968,0.34626530612244893
Asia,1969,0.3431836734693877
Asia,1970,0.34648979591836737
Asia,1971,0.3369
Asia,1972,0.33914
Asia,1973,0.33677999999999997
Asia,1974,0.3356
Asia,1975,0.31606
Asia,1976,0.3122857142857143
Asia,1977,0.31540816326530613
Asia,1978,0.3116938775510204
Asia,1979,0.31442857142857145
Asia,1980,0.3152857142857143
Asia,1981,0.312530612244898
Asia,1982,0.3139591836734694
Asia,1983,0.31510204081632653
Asia,1984,0.317734693877551
Asia,1985,0.3234489795918367
Asia,1986,0.34222448979591835
Asia,1987,0.356
Asia,1988,0.36524489795918363
Asia,1989,0.3775306122448979
Asia,1990,0.41681632653061224
Asia,1991,0.4417708333333333
Asia,1992,0.4535416666666667
Asia,1993,0.46295833333333336
Asia,1994,0.4684791666666666
Asia,1995,0.4748958333333333
Asia,1996,0.47658333333333336
Asia,1997,0.47672916666666665
Asia,1998,0.4850208333333333
Asia,1999,0.49491666666666667
Asia,2000,0.5212083333333334
Asia,2001,0.5214166666666666
Asia,2002,0.5324166666666666
Asia,2003,0.5402916666666667
Asia,2004,0.5406041666666667
Asia,2005,0.5403541666666667
Asia,2006,0.5384791666666667
Asia,2007,0.5382040816326531
Asia,2008,0.5425510204081633
Asia,2009,0.5478367346938776
Asia,2010,0.5544081632653062
Asia,2011,0.5531836734693878
Asia,2012,0.552795918367347
Asia,2013,0.5468367346938775
Asia,2014,0.5364489795918368
Asia,2015,0.5272857142857142
Asia,2016,0.5212244897959184
Asia,2017,0.5194489795918367
Asia,2018,0.5255918367346939
Asia,2019,0.5315510204081633
Asia,2020,0.5228775510204081
Asia,2021,0.49957142857142856
Europe,1951,0.462125
Europe,1952,0.4643
Europe,1953,0.466025
Europe,1954,0.48892499999999994
Europe,1955,0.4892
Europe,1956,0.4939
Europe,1957,0.5019250000000001
Europe,1958,0.503725
Europe,1959,0.506175
Europe,1960,0.51415
Europe,1961,0.5175500000000001
Europe,1962,0.51925
Europe,1963,0.5233749999999999
Europe,1964,0.52425
Europe,1965,0.5258
Europe,1966,0.526
Europe,1967,0.520675
Europe,1968,0.524875
Europe,1969,0.52325
Europe,1970,0.5253
Europe,1971,0.52595
Europe,1972,0.5254749999999999
Europe,1973,0.5262749999999999
Europe,1974,0.543725
Europe,1975,0.5665
Europe,1976,0.5700000000000001
Europe,1977,0.5776749999999999
Europe,1978,0.5785
Europe,1979,0.5841000000000001
Europe,1980,0.5886
Europe,1981,0.593475
Europe,1982,0.59205
Europe,1983,0.593675
Europe,1984,0.5986
Europe,1985,0.6035999999999999
Europe,1986,0.618325
Europe,1987,0.628925
Europe,1988,0.63305
Europe,1989,0.6564
Europe,1990,0.839425
Europe,1991,0.8654358974358975
Europe,1992,0.8765384615384616
